"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2025","4.290","4.590","4.620","4.200","1.93M","-5.92%"
"08/28/2025","4.560","4.920","5.050","4.520","3.15M","-7.88%"
"08/27/2025","4.950","4.930","5.200","4.880","1.30M","-0.80%"
"08/26/2025","4.990","4.920","5.267","4.870","1.76M","1.22%"
"08/25/2025","4.930","5.150","5.250","4.900","1.56M","-5.47%"
"08/22/2025","5.215","5.170","5.450","4.840","5.85M","0.68%"
"08/21/2025","5.180","5.560","5.820","5.160","1.68M","-8.16%"
"08/20/2025","5.640","5.680","5.920","5.130","2.82M","-0.70%"
"08/19/2025","5.680","6.720","6.840","5.620","2.68M","-16.10%"
"08/18/2025","6.770","6.900","7.114","6.620","1.28M","-0.73%"
"08/15/2025","6.820","6.940","7.000","6.640","1.11M","-2.29%"
"08/14/2025","6.980","6.930","7.000","6.650","1.80M","-2.51%"
"08/13/2025","7.160","7.300","8.090","7.110","3.72M","0.14%"
"08/12/2025","7.150","6.850","7.390","6.570","1.97M","4.23%"
"08/11/2025","6.860","7.000","7.500","6.430","3.29M","-1.58%"
"08/08/2025","6.970","7.070","7.370","6.610","1.81M","-2.11%"
"08/07/2025","7.120","7.010","7.160","6.765","1.75M","3.94%"
"08/06/2025","6.850","6.900","6.986","6.440","2.51M","-1.37%"
"08/05/2025","6.945","7.340","7.580","6.815","2.05M","-5.70%"
"08/04/2025","7.365","7.830","7.993","7.150","2.11M","-2.71%"
"08/01/2025","7.570","8.100","8.390","7.560","2.56M","-10.73%"